time,posx,posz,velx,velz,accx,accz,pitch,draught,force
9.296000000000287,-0.22516412033689548, 0.3498006545298648, -0.14889561007575322, -0.1962703820779058, 0.7705825398079817, -0.9760860980367864, 0.027506609157184808, 0.06699254768749759, 43.92607065793988
9.297000000000287,-0.22531185935229556, 0.3496029202505939, -0.14812454695864077, -0.19724631353989883, 0.7715436944169263, -0.975776825949297, 0.027571309457974633, 0.06711757205981818, 43.90307951454527
9.298000000000286,-0.2254588258629416, 0.34940421050813564, -0.14735252275023916, -0.19822193281883194, 0.772504722386297, -0.9754617319169012, 0.027636328695512975, 0.06724304793950536, 43.88015387298369
9.299000000000285,-0.22560501890794002, 0.34920452562341325, -0.14657953758235884, -0.19919723408785397, 0.7734656133743395, -0.9751408061271555, 0.027701667393608555, 0.06736897510685143, 43.857293546640236
9.300000000000285,-0.22575043752654458, 0.34900386592319177, -0.14580559159715561, -0.20017221151028824, 0.7744263570320816, -0.9748140387413686, 0.02776732606250479, 0.06749535333644112, 43.83449834943166
9.301000000000284,-0.22589508075816672, 0.3488022317400875, -0.14503068494713794, -0.2011468592396062, 0.7753869430032609, -0.9744814198945484, 0.027833305198847184, 0.06762218239714686, 43.81176809580488
9.302000000000284,-0.2260389476423859, 0.3485996234125782, -0.14425481779517418, -0.2021211714194011, 0.7763473609242516, -0.9741429396952734, 0.027899605285651066, 0.0677494620521251, 43.78910260073543
9.303000000000283,-0.22618203721896007, 0.3483960412850129, -0.14347799031450004, -0.2030951421833616, 0.7773076004240159, -0.973798588225703, 0.027966226792269712, 0.06787719205881187, 43.76650167972602
9.304000000000283,-0.22632434852783592, 0.3481914857076217, -0.14270020268872602, -0.20406876565524515, 0.77826765112402, -0.9734483555413841, 0.02803317017436285, 0.06800537216891948, 43.743965148804946
9.305000000000282,-0.22646588060915931, 0.3479859570365261, -0.14192145511184492, -0.20504203594885148, 0.7792275026381793, -0.9730922316712634, 0.02810043587386552, 0.06813400212843283, 43.721492824524674
9.306000000000282,-0.22660663250328575, 0.3477794556337485, -0.14114174778823943, -0.2060149471679959, 0.7801871445727842, -0.9727302066175889, 0.02816802431895733, 0.06826308167760504, 43.6990845239603
9.307000000000281,-0.22674660325079066, 0.34757198186722277, -0.1403610809326898, -0.2069874934064826, 0.7811465665264397, -0.9723622703558248, 0.028235935924032066, 0.06839261055095518, 43.67674006470808
9.30800000000028,-0.22688579189247987, 0.3473635361108039, -0.1395794547703816, -0.2079596687480778, 0.782105758089992, -0.9719884128345901, 0.028304171089667703, 0.0685225884772642, 43.654459264883926
9.30900000000028,-0.22702419746940006, 0.3471541187442782, -0.1387968695369134, -0.2089314672664829, 0.783064708846463, -0.9716086239755859, 0.02837273020259677, 0.06865301517957165, 43.63224194312195
9.31000000000028,-0.22716181902284907, 0.3469437301533735, -0.13801332547830467, -0.20990288302530746, 0.7840234083709849, -0.9712228936735111, 0.02844161363567712, 0.06878389037517307, 43.610087918572965
9.311000000000279,-0.22729865559438642, 0.3467323707297691, -0.1372288228510038, -0.21087391007804226, 0.7849818462307293, -0.9708312117960892, 0.028510821747863034, 0.0689152137756161, 43.587997010903045
